PID_IGF1_PATHWAY	BIOCARTA_INTEGRIN_PATHWAY	REACTOME_ERK_MAPK_TARGETS	REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1	REACTOME_UNFOLDED_PROTEIN_RESPONSE	REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP	PID_INTEGRIN_A9B1_PATHWAY	REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	BIOCARTA_MCALPAIN_PATHWAY	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	BIOCARTA_MET_PATHWAY	REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	REACTOME_SIGNALING_BY_ROBO_RECEPTOR	REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	BIOCARTA_IGF1R_PATHWAY	REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	ST_ERK1_ERK2_MAPK_PATHWAY	BIOCARTA_INSULIN_PATHWAY	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	BIOCARTA_HDAC_PATHWAY	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	PID_RHODOPSIN_PATHWAY	REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	PID_ECADHERIN_STABILIZATION_PATHWAY	ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY
0.01057	0.01732	0.01099	0.004644	0.01378	0.01272	0.00768	0.01187	0.009375	0.01408	1	0.01546	0.1956	0.01408	0.006299	0.00939	0.01134	0.007924	0.01595	0.01235	0.1679	0.01692	0.2096	0.007837	0.01813	0.01415	0.2182	0.1488	0.01054	0.01378
0.205	0.1618	0.008929	0.01026	0.006221	0.006042	0.009023	0.006024	0.01364	0.1019	0.003008	1	0.007452	0.005831	0.01632	0.01499	0.01703	0.005988	0.02112	0.01252	0.01198	0.01541	0.0136	0.01054	0.01108	0.01349	0.004484	0.00936	0.01538	0.0205
0.009288	0.01724	0.01595	0.01159	0.02218	0.01861	0.0129	0.01294	0.01905	0.01274	1	0.01136	1	0.003284	0.02317	0.01929	0.006601	0.01131	0.01368	0.01766	1	0.01167	1	0.02167	0.01182	0.01324	1	1	0.02555	0.01433
0.007353	0.01205	0.009077	0.008696	0.004573	1	0.008915	0.01059	0.01171	0.00578	0.003003	0.007508	0.00774	1	0.007267	0.005839	0.01881	0.004425	0.01799	0.01504	0.01225	0.004418	0.01372	0.008929	0.005997	0.01164	0.005961	0.007728	0.004342	0.01182
0.007576	0.01276	0.01148	0.01028	0.00936	0.01587	0.006211	0.01242	0.00916	0.001529	0.006309	0.007812	0.009615	0.01406	1	0.0096	0.01244	0.004717	0.01976	0.01254	0.01113	0.01089	0.01442	0.01272	0.01212	0.0159	0.01045	0.01242	0.005891	0.02377
0.01106	0.01122	1	0.05977	0.008224	0.02459	0.007788	0.02208	0.02408	0.02871	0.0217	0.024	0.02919	0.0124	0.01863	1	0.05547	0.01836	1	0.01774	0.03068	0.009756	0.02656	0.01429	0.02826	0.01125	0.01735	0.01738	0.02212	0.1344
1	0.02826	0.04328	0.02835	0.03943	0.01104	0.01558	0.01713	0.01687	1	0.02553	1	0.01382	0.01629	0.01097	0.05991	1	0.01056	0.1675	1	0.009346	0.02556	0.007849	0.01577	0.02751	0.01466	0.01766	0.01754	0.005952	0.4366
0.02291	0.02853	0.01575	0.02606	0.01523	0.01626	0.02451	0.01812	0.01396	0.01997	0.02867	0.0132	0.02104	0.02649	0.01565	0.0276	0.02773	1	0.02622	0.03247	0.02104	0.01974	0.01803	0.01533	0.02751	0.01661	0.02768	0.02787	0.02871	0.02291
0.047	0.03828	0.4006	0.02028	0.02315	0.01223	0.02283	0.02283	0.01893	0.01775	0.01221	0.0412	0.0137	0.01216	0.04037	0.273	0.1401	0.01274	1	0.02188	0.02249	0.02748	0.02703	0.01562	0.01662	0.02201	0.0142	0.03302	0.01513	0
1	1	0.0305	0.0207	0.03409	0.0215	0.02773	0.008197	0.02564	0.02951	0.04228	1	0.02536	0.01929	0.02667	0.01967	1	0.03226	0.02677	1	0.0234	0.1113	0.02894	0.02083	0.02025	0.02362	0.02599	0.02951	0.0272	0
0.0347	0.03055	0.0389	0.04013	0.03962	0.03494	0.02198	0.04127	0.03628	0.03295	0.25	0.02656	0.274	0.03934	0.02291	0.02572	0.03064	0.0254	0.03146	0.0301	1	0.02064	0.2582	0.03349	0.03465	0.03236	0.2998	1	0.03492	0
0.02778	0.04204	0.04509	0.0339	0.0469	0.03298	0.03221	0.02572	0.02624	0.03206	0.02315	0.03988	0.02901	0.0411	0.03091	0.02703	0.06096	0.02424	0.03349	0.07378	0.03215	1	0.01534	0.04025	0.02147	0.02896	0.02229	0.02812	0.04094	0
0.01669	0.02477	0.02184	0.02524	0.0228	0.02041	0.02552	0.02746	0.02964	0.02258	0.1053	0.02333	0.08914	0.02198	0.0321	0.03196	0.01711	0.02484	0.031	0.02595	0.09531	0.02885	1	0.02802	0.02439	0.03236	0.0858	0.08333	0.04154	0
0.03221	0.04475	0.02508	0.02815	0.03506	0.01824	0.02315	0.02071	0.0178	0.03387	0.02756	0.02815	0.03407	0.0125	0.02699	0.0299	0.02458	0.02246	0.02236	0.03221	0.0236	0.02899	0.0229	1	0.0291	0.02511	0.02016	0.02074	0.06306	0
0.0356	0.03967	0.03823	0.02871	0.05107	0.04026	0.0439	0.02431	0.03252	0.0237	0.04573	0.02795	0.03816	0.04214	0.03026	0.05238	0.02548	0.03954	0.0356	0.03448	0.02694	0.04031	0.0342	0.03379	1	0.03302	0.032	0.02471	0.03016	0
0.0305	0.02645	0.03365	0.04012	0.02917	0.0211	0.03252	0.03256	0.03993	0.03437	0.03165	0.02801	0.03427	0.04225	0.02652	0.03547	0.03548	0.02475	0.03828	0.02589	0.0216	0.03795	0.05145	0.04167	0.03554	1	0.03509	0.04957	0.01763	0
0.04553	0.01749	0.03791	0.02955	0.04894	0.04348	0.04581	0.04135	0.0456	0.0288	0.1699	0.03651	1	0.04052	0.02969	0.04382	0.0346	0.03738	0.04239	0.03055	0.2016	0.03634	0.2019	0.02871	0.03744	0.02744	1	0.1978	0.03834	0
0.05701	0.04552	0.03555	0.04731	0.04867	0.03628	0.03431	0.04032	0.03533	0.02769	0.3696	0.02677	0.3291	0.03312	0.04762	0.0336	0.039	0.02423	0.0276	0.02615	1	0.02746	0.3555	0.03514	0.04206	0.04618	0.3194	1	0.03744	0
0.02167	0.1158	0.0256	0.02878	0.02798	0.01901	0.0228	0.03453	0.02128	0.04328	0.02639	0.05271	0.02115	0.02711	0.01025	0.01952	0.02381	0.03483	0.03433	0.03274	0.01994	0.01684	0.02564	0.04606	0.01887	0.02582	0.03432	0.0355	1	0
0.1216	0.03382	0.1379	0.0421	0.08537	0.03658	0.06923	0.03026	0.02193	0.02778	0.02681	0.05496	0.02765	0.01511	0.04747	0.1209	0.203	0.04036	0.3447	0.04142	0.03035	0.02998	0.0313	0.03613	0.03512	0.03249	0.02465	0.03079	0.03925	0
