REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	PID_S1P_META_PATHWAY	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_COMPLEMENT_CASCADE	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	BIOCARTA_P53_PATHWAY	PID_S1P_S1P3_PATHWAY	REACTOME_REGULATION_OF_IFNA_SIGNALING	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	PID_S1P_S1P1_PATHWAY	BIOCARTA_LAIR_PATHWAY	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DEADENYLATION_OF_MRNA	REACTOME_POTASSIUM_CHANNELS	PID_CD8_TCR_DOWNSTREAM_PATHWAY	BIOCARTA_COMP_PATHWAY	SIG_CD40PATHWAYMAP	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	PID_ANTHRAX_PATHWAY	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	KEGG_NITROGEN_METABOLISM	BIOCARTA_CELLCYCLE_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	SA_G1_AND_S_PHASES	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	PID_NEPHRIN_NEPH1_PATHWAY	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_SIGNALING_BY_NODAL
0.06378	0.08011	0.05911	0.06995	0.06299	0.06027	0.08743	0.06183	0.06349	0.08169	0.0567	0.07805	0.08	1	0.08312	0.06683	0.07692	0.07254	0.08586	0.07527	0.06378	0.06704	0.06234	0.06701	0.06771	0.06133	0.07219	0.09286	0.07547	0.05514
0.01136	0.01938	0.0292	0.02479	0.01575	0.0249	0.03175	0.02652	0.01619	0.5138	0.02869	0.01688	0.01389	0.01908	1	0.02847	0.01304	0.02767	0.01717	0.008511	0.01154	0.008584	0.007273	0.01626	0.02281	0.008299	0.02713	0.01176	0.02058	0.0155
0.997	0.0461	0.05387	0.05128	0.9985	0.06316	0.0495	0.9529	1	0.03934	0.04294	0.03311	0.04082	0.05282	0.0363	1	0.04878	0.0264	0.03986	0.0356	0.01773	0.03165	0.03345	0.0283	0.03546	0.0301	0.05592	0.03072	0.025	0.04196
0.1204	0.09302	0.06593	1	0.1063	0.1135	0.1146	0.1315	0.08854	0.1277	0.08967	0.4085	0.09524	0.1011	0.08495	0.09214	1	0.1079	0.1005	0.09756	0.1137	0.09943	0.09207	0.1018	0.07202	0.1029	0.1349	0.08451	0.09804	0.1239
0.0758	0.08529	0.07479	0.08282	0.2399	0.07122	0.06886	0.07692	0.04451	0.06706	0.07222	0.09174	0.1188	0.07493	0.02793	0.06027	0.09064	1	0.07273	0.2212	0.07911	0.07669	0.05085	0.1716	0.064	0.1006	0.05672	0.3957	0.0649	0.05714
0.1108	0.09524	0.0548	0.09375	0.09016	0.09589	0.1003	0.09827	0.1006	0.104	0.0904	0.1114	0.07427	0.07202	0.08639	0.1027	0.0625	0.08115	1	0.1201	0.08635	0.08782	0.1099	0.1206	0.06952	0.08219	0.09632	0.06011	0.08659	0.09836
0.1387	0.1146	0.05426	0.09896	1	0.1288	0.1628	0.1321	0.1243	0.09351	0.1941	0.03431	0.09762	0.1043	0.1099	1	0.08997	1	0.1024	1	0.117	0.117	0.126	1	0.1813	0.1263	0.1165	0.1979	0.1088	0.1184
0.1466	0.1239	0.09589	0.1229	0.11	0.09863	0.1032	0.1105	0.08746	0.106	0.08262	0.07967	0.09471	0.1044	0.08116	0.1236	0.114	0.0885	0.09164	0.09091	1	0.107	0.1003	0.108	0.1155	0.118	0.1017	0.1003	0.1069	0.08382
0.09021	0.08073	0.09341	0.09549	0.1023	0.09341	0.07692	0.08625	0.1137	0.0791	0.08571	0.1089	0.1008	0.1077	0.0873	0.107	0.07246	0.0678	0.1344	0.07732	0.1034	1	0.1064	0.1117	0.08889	0.09972	0.2537	0.1013	0.1156	0.07817
0.1658	0.1031	0.09434	0.09244	0.0916	0.4348	0.1313	0.1193	0.1132	0.1433	0.108	0.1333	0.1274	0.1	0.1552	0.1127	0.1146	0.1234	0.1186	0.127	0.1316	0.1253	1	0.106	0.1478	0.6684	0.1297	0.1105	0.144	0.1147
0.09158	0.05283	0.398	0.101	0.4766	0.06716	0.02721	0.07023	0.09278	0.06618	0.08647	0.101	0.09253	0.02867	0.07971	0.0473	0.07801	0.07877	0.1015	0.07524	0.09259	0.07273	0.06859	1	0.07664	0.07309	0.06182	0.1324	0.07717	0.06623
0.01408	0.02752	0.01681	0.02344	0.01639	0.008264	0.008772	0.025	0.01818	0.01724	0	0.01626	0.008475	0.00885	0	0.008547	0.008	0.01639	0.0177	0.02439	0.01399	0	0.01724	0.01653	1	0	0.01562	0.01754	0.03252	0
0.2103	0.2069	0.2289	0.2057	0.1913	1	0.2128	0.219	0.2209	0.2374	0.2063	0.1921	0.1798	0.1615	0.2066	0.2342	0.189	0.1906	0.19	0.2078	0.1846	0.1876	1	0.199	0.2202	1	0.2096	0.1885	0.2067	0.2294
0.1693	0.2121	0.2079	0.1927	0.1632	0.1739	0.1789	0.1689	0.1671	0.2143	0.1769	0.1681	0.206	0.1685	0.1808	0.1952	0.192	0.1953	0.2028	0.2	0.1974	0.413	0.1732	0.1705	0.161	0.1676	1	0.1595	0.3468	0.1872
0.2006	0.1936	0.1824	0.187	0.8259	0.1744	0.12	0.1912	0.1942	0.1793	0.1202	0.1558	0.1892	0.1744	0.1618	0.1386	0.2093	0.8431	0.2082	0.4451	0.177	0.1792	0.2113	0.7228	0.1941	0.1566	0.1499	1	0.277	0.1441
0.1312	0.1082	0.2788	0.09434	0.231	0.1162	0.4209	0.1272	0.1224	0.1365	0.268	0.1402	0.1346	0.1185	0.126	0.08214	0.1137	0.125	0.09055	0.09058	0.1465	0.09818	0.0983	0.1	0.1143	0.1018	0.2202	0.1115	1	0.127
0.2243	0.2256	0.1868	0.2387	0.2246	0.2335	0.2583	0.1952	0.2521	0.2107	0.2067	0.2198	0.2219	0.2228	0.2116	0.199	0.2299	0.1838	0.234	0.232	0.2549	0.2169	0.2093	0.1919	1	0.171	0.2287	0.1895	0.2176	1
