	Compare.List	NES	pValue	qValue
34	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.58805951249187	0.021	0.864181818181818
35	REACTOME_CHOLESTEROL_BIOSYNTHESIS	1.57787236198521	0.034	1
36	REACTOME_ACTIVATION_OF_GENES_BY_ATF4	1.5760737686462	0.034	1
37	REACTOME_METAL_ION_SLC_TRANSPORTERS	1.57584978257753	0.046	1
38	REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	1.55680394337882	0.027	0.990972972972973
39	HALLMARK_MTORC1_SIGNALING	1.51751735711077	0	0
40	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	1.51691293951002	0.014	0.731230769230769
41	REACTOME_EXTENSION_OF_TELOMERES	1.516249914336	0.037	1
42	REACTOME_PURINE_METABOLISM	1.51531170436927	0.034	1
43	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	1.51429467708506	0.005	0.452666666666667
44	REACTOME_G2_M_CHECKPOINTS	1.51244393184766	0.019	0.860066666666667
45	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	1.50815021210481	0.048	1
46	REACTOME_PERK_REGULATED_GENE_EXPRESSION	1.5007999153351	0.042	1
47	REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	1.50063344656257	0.044	1
48	KEGG_RNA_DEGRADATION	1.48664666845625	0.018	0.842896551724138
49	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1.48656496451165	0.026	0.980777777777778
50	PID_AURORA_B_PATHWAY	1.48113322289517	0.032	1
51	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	1.47356606930183	0.003	0.3395
52	HALLMARK_MYC_TARGETS_V1	1.4600150034974	0.001	0.1358
53	REACTOME_GLUCOSE_TRANSPORT	1.4593599084099	0.037	1
54	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	1.45080952790382	0.043	1
55	KEGG_PYRIMIDINE_METABOLISM	1.43922700388066	0.012	0.65184
56	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	1.43283800379833	0.043	1
57	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	1.41286658999173	0.037	1
58	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.30067898550399	0.044	1
59	REACTOME_DNA_REPLICATION	1.26593833389704	0.034	1
60	REACTOME_MITOTIC_M_M_G1_PHASES	1.26252580134382	0.035	1
